,type,in_strength_1,in_strength_2,out_strength_1,out_strength_2,in_out_strength_1,in_out_strength_2,motif_4_1,motif_4_2,motif_5_1,motif_5_2,motif_6_1,motif_6_2,motif_7_1,motif_7_2,motif_8_1,motif_8_2,motif_9_1,motif_9_2,motif_10_1,motif_10_2,motif_11_1,motif_11_2,motif_12_1,motif_12_2,motif_13_1,motif_13_2,motif_14_1,motif_14_2,motif_15_1,motif_15_2,motif_16_1,motif_16_2,NetEMD_upper_1,NetEMD_upper_2,NetEMD_lower_1,NetEMD_lower_2,NetEMD_comb_1,NetEMD_comb_2,NetEMD_rw_1,NetEMD_rw_2,gaw_score,gaw10_score,gaw20_score,degree_std,first_density,second_density,third_density,small_community,first_strength,second_strength,upper_ipr_1,upper_exp_1,upper_ipr_2,upper_exp_2,upper_ipr_3,upper_exp_3,upper_ipr_4,upper_exp_4,upper_ipr90,upper_abs90,upper_sign_stat_1,upper_sign_stat_2,upper_sign_equal_1,upper_sign_equal_2,upper_absolute_value,lower_ipr_1,lower_exp_1,lower_ipr_2,lower_exp_2,lower_ipr_3,lower_exp_3,lower_ipr_4,lower_exp_4,lower_ipr90,lower_abs90,lower_sign_stat_1,lower_sign_stat_2,lower_sign_equal_1,lower_sign_equal_2,lower_absolute_value,comb_ipr_1,comb_exp_1,comb_ipr_2,comb_exp_2,comb_ipr_3,comb_exp_3,comb_ipr_4,comb_exp_4,comb_ipr90,comb_abs90,comb_sign_stat_1,comb_sign_stat_2,comb_sign_equal_1,comb_sign_equal_2,comb_absolute_value,rw_ipr_1,rw_exp_1,rw_ipr_2,rw_exp_2,rw_ipr_3,rw_exp_3,rw_ipr_4,rw_exp_4,rw_ipr90,rw_abs90,rw_sign_stat_1,rw_sign_stat_2,rw_sign_equal_1,rw_sign_equal_2,rw_absolute_value,path_2,path_3,path_5,path_6,path_7,path_8,path_9,path_10,path_11,path_12,path_13,path_14,path_15,path_16,path_17,path_18,path_19,path_20,path_4
0,path,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.456250917735684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4455552771298112,1.3571141283629875,0.007415924198704849,0.0,0,1.2141749111673639,0.0066348355801495295,0.0,0.0,53.19721296707603,56.54410443045572,38.11325524737359,44.47206734149721,70.83594045376185,63.59657384575933,0.0,0.0,0.0,0.0,0.0,0.0,2.4041317225570307,0.0,0.0,57.33346537568592,59.21843587165307,20.05656125521012,23.352185292675067,74.52369118554394,63.68639360204045,0.0,0.0,0.0,0.0,0.0,0.0,2.6612408917399177,0.0,0.0,8.0,7.709243802498322,2.309621355134456,3.5419004991481624,17.58844042990017,18.02079524126826,0.0,0.0,0.0,0.0,0.0,0.0,2.395806713409568,0.0,0.0,51.66843354969975,62.88176317525574,51.96768183352255,56.64790327892989,66.19097786279337,57.79854717133234,0.0,0.0,0.0,0.0,0.0,0.0,2.9265169702715412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,path,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.52709070991739,5.45851032414874,0.14364500853023002,8.0,0,2.12224454328937,0.05584854061287816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1244568334781606,0.0,0.0,0.0,0.0,0.0,1.25017497992652,0.0,0.0,1.980968021794223,2.518458979967271,8.0,8.0,1.6959577463288906,1.8464539736476604,0.0,0.0,0.0,0.0,0.0,0.0,1.4082461671610615,2.3362562713578248,2.352115971396568,3.969944795275559,4.101341507287755,0.0,0.0,3.105338333359034,2.915812868455376,5.793073831278507,0.0,0.0,0.0,0.0,0.0,1.3418907980029253,1.773038622075589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4783210835378677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,star,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.013124176345892,1.8844014168601237,-0.2564968823109308,1.2694676690320617,0.005877165134407693,0.0,0,1.1361255656629732,0.005259840581773024,3.7007195476558143,1.6615134403890728,0.0,0.0,0.0,0.0,0.0,0.0,8.064132671752919,3.3523397777901445,1.8026730761823317,0.027733431941266644,0.0,0.0,1.2530444007345658,10.147055549302483,8.241408060146522,0.0,0.0,0.0,0.0,0.0,0.0,5.568638358293385,1.6508850614505342,0.0,0.0,0.0,0.0,1.5928701068226359,1.8850378374314951,0.0,0.0,0.0,0.0,0.0,0.0,2.0900734197083293,18.463064565534285,1.6941588246654016,0.0,0.0,0.0,0.0,1.1452199902862215,6.32963116886553,1.8586101279460605,0.0,0.0,0.0,0.0,0.0,0.0,3.6865963193779927,0.0,0.0,0.0,0.0,0.0,1.7260799456973612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,star,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5962278522591824,1.4799857164433698,0.012436854760028319,0.0,0,1.2493803293068682,0.010498994363923262,0.0,0.0,22.54563458711422,24.141164091297735,22.020809470796983,23.208770503710966,14.160298726772094,16.658772112525526,0.0,0.0,0.0,0.0,0.0,0.0,2.4279980849807807,0.0,0.0,19.917637227762675,20.319973876750378,14.693843499706613,15.18733844188495,16.716976146442775,17.34709367398063,0.0,0.0,0.0,0.0,0.0,0.0,1.4743520323034087,0.0,0.0,17.484168657761096,16.81084985553492,13.870899966346874,14.03899745944141,21.44760580129806,15.911095253132064,0.0,0.0,0.0,0.0,0.0,0.0,2.704544153005974,0.0,0.0,2.122033730802756,5.841119109095972,24.0,24.0,9.096425553790262,9.280594561239464,0.0,0.0,0.0,0.0,0.0,0.0,2.2646528021744756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,path,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7003535045909999,1.3571141283629875,0.007415924198704849,0.0,0,1.2141749111673639,0.0066348355801495295,0.0,0.0,22.54563458711422,24.141164091297735,22.020809470796983,23.208770503710966,14.160298726772094,16.658772112525526,0.0,0.0,0.0,0.0,0.0,0.0,1.8285705808920167,0.0,0.0,19.917637227762675,20.319973876750378,14.693843499706613,15.18733844188495,16.716976146442775,17.34709367398063,0.0,0.0,0.0,0.0,0.0,0.0,2.4301111591250257,0.0,0.0,17.484168657761096,16.81084985553492,13.870899966346874,14.03899745944141,21.44760580129806,15.911095253132064,0.0,0.0,0.0,0.0,0.0,0.0,0.7790968887872677,0.0,0.0,2.122033730802756,5.841119109095972,24.0,24.0,9.096425553790262,9.280594561239464,0.0,0.0,0.0,0.0,0.0,0.0,1.8706919915837161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,star,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7660933372333082,1.4799857164433698,0.012436854760028319,0.0,0,1.2493803293068682,0.010498994363923262,3.7007195476558143,1.6615134403890728,0.0,0.0,0.0,0.0,0.0,0.0,8.064132671752919,3.3523397777901445,0.0,0.0,0.0,0.0,1.5480846107902828,10.147055549302483,8.241408060146522,0.0,0.0,0.0,0.0,0.0,0.0,5.568638358293385,1.6508850614505342,0.0,0.0,0.0,0.0,1.1165224284902586,1.8850378374314951,0.0,0.0,0.0,0.0,0.0,0.0,2.0900734197083293,18.463064565534285,1.6941588246654016,0.0,0.0,0.0,0.0,1.9146106765051087,6.32963116886553,1.8586101279460605,0.0,0.0,0.0,0.0,0.0,0.0,3.6865963193779927,0.0,0.0,0.0,0.0,0.0,1.3863830458513984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,ring,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5962278522591824,14.372032801035822,0.9581355200690548,8.0,0,2.6941716755268295,0.17961144503512197,3.7007195476558143,1.6615134403890728,0.0,0.0,0.0,0.0,0.0,0.0,8.064132671752919,3.3523397777901445,0.0,0.0,0.0,0.0,1.0991409035576742,10.147055549302483,8.241408060146522,0.0,0.0,0.0,0.0,0.0,0.0,5.568638358293385,1.6508850614505342,0.0,0.0,0.0,0.0,0.8108886334566499,1.8850378374314951,0.0,0.0,0.0,0.0,0.0,0.0,2.0900734197083293,18.463064565534285,1.6941588246654016,0.0,0.0,0.0,0.0,2.2320853503909714,6.32963116886553,1.8586101279460605,0.0,0.0,0.0,0.0,0.0,0.0,3.6865963193779927,0.0,0.0,0.0,0.0,0.0,1.2989562015281355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,path,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6154207621039371,2.5113236262862593,0.0330437319248192,7.521970310411665,0,1.6795939597643346,0.02209992052321493,0.0,0.0,8.0,7.786604801354373,8.0,8.0,2.7096711083396037,2.0847496411809505,0.0,0.0,0.0,0.0,0.0,0.0,1.4212675240616661,0.0,0.0,6.980770675010787,5.880299619176756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.509913246752882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.425528902815983,0.0,0.0,2.7238287402984893,3.226454269880982,0.0,0.0,1.7719528613058029,1.9227938810931229,0.0,0.0,0.0,0.0,0.0,0.0,2.0206930498868227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,ring,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5304880196168742,14.372032801035822,0.9581355200690548,8.0,0,2.6941716755268295,0.17961144503512197,0.0,0.0,8.0,7.786604801354373,8.0,8.0,2.7096711083396037,2.0847496411809505,0.0,0.0,0.0,0.0,0.0,0.0,1.2842037737221872,0.0,0.0,6.980770675010787,5.880299619176756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4758693189354382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9548288110156768,0.0,0.0,2.7238287402984893,3.226454269880982,0.0,0.0,1.7719528613058029,1.9227938810931229,0.0,0.0,0.0,0.0,0.0,0.0,1.817384391928434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,clique,0.0,0.0,0.0,2.128045234184983,0.0,2.128045234184983,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9249436236389754,2.888552392618334,4.302356159756166,0.677763285046761,5.45851032414874,0.14364500853023002,8.0,0,2.12224454328937,0.05584854061287816,0.0,0.0,3.4220349846577234,5.4265222779639135,0.0,0.0,1.8868232871582753,2.1616949136756056,0.0,0.0,0.0,0.0,0.0,0.0,1.4277346733382368,9.715602000056895,0.0,10.372299755937183,10.839415358489376,0.0,2.0115530682922342,23.438712287539026,23.512948264529378,2.74171841528503,0.0,0.0,0.0,0.0,0.0,2.310749153058193,1.8088151738106837,0.0,6.658993917138183,5.957358471381716,0.0,0.0,12.953537858820297,7.2698910129239565,0.0,0.0,0.0,0.0,0.0,0.0,0.61860664096511,0.0,0.0,0.0,0.0,8.0,8.0,2.295680081393039,3.814947443683412,0.0,0.0,0.0,0.0,0.0,0.0,0.7305740108512659,0.0,0.7474457297762798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
